北海道,ほっかいどう
青森,あおもり
青森県,あおもりけん
岩手,いわて
岩手県,いわてけん
宮城,みやぎ
宮城県,みやぎけん
秋田,あきた
秋田県,あきたけん
山形,やまがた
山形県,やまがたけん
福島,ふくしま
福島県,ふくしまけん
茨城,いばらぎ
茨城県,いばらぎけん
栃木,とちぎ
栃木県,とちぎけん
群馬,ぐんま
群馬県,ぐんまけん
埼玉,さいたま
埼玉県,さいたまけん
千葉,ちば
千葉県,ちばけん
東京,とうきょう
東京都,とうきょうと
神奈川,かながわ
神奈川県,かながわけん
新潟,にいがた
新潟県,にいがたけん
富山,とやま
富山県,とやまけん
石川県,いしかわけん
福井,ふくい
福井県,ふくいけん
山梨,やまなし
山梨県,やまなしけん
長野,ながの
長野県,ながのけん
岐阜,ぎふ
岐阜県,ぎふけん
静岡,しずおか
静岡県,しずおかけん
愛知,あいち
愛知県,あいちけん
三重,みえ
三重県,みえけん
滋賀,しが
滋賀県,しがけん
京都,きょうと
京都府,きょうとふ
大阪,おおさか
大阪府,おおさかふ
兵庫,ひょうご
兵庫県,ひょうごけん
奈良,なら
奈良県,ならけん
和歌山,わかやま
和歌山県,わかやまけん
鳥取,とっとり
鳥取県,とっとりけん
島根,しまね
島根県,しまねけん
岡山,おかやま
岡山県,おかやまけん
広島,ひろしま
広島県,ひろしまけん
山口県,やまぐちけん
徳島,とやま
徳島県,とやまけん
香川,かがわ
香川県,かがわけん
愛媛,えひめ
愛媛県,えひめけん
高知,こうち
高知県,こうちけん
福岡,ふくおか
福岡県,ふくおかけん
佐賀,さが
佐賀県,さがけん
長崎,ながさき
長崎県,ながさきけん
熊本,くまもと
熊本県,くまもとけん
大分,おおいた
大分県,おおいたけん
宮崎,みやざき
宮崎県,みやざき県
鹿児島,かごしま
鹿児島県,かごしまけん
沖縄,おきなわ
沖縄県,おきなわけん
